R: 7.25 G: 3.35	f_min: 1.98808e+09	f_max: 8.15901e+09	f_max - f_min: 6.17093e+09
R: 7.30 G: 3.35	f_min: 2.02505e+09	f_max: 8.06558e+09	f_max - f_min: 6.04053e+09
R: 7.55 G: 3.40	f_min: 1.97894e+09	f_max: 8.66255e+09	f_max - f_min: 6.68361e+09
R: 7.60 G: 3.40	f_min: 2.01574e+09	f_max: 8.56336e+09	f_max - f_min: 6.54762e+09
R: 7.65 G: 3.40	f_min: 2.05323e+09	f_max: 8.44583e+09	f_max - f_min: 6.39260e+09
R: 7.70 G: 3.40	f_min: 2.09624e+09	f_max: 8.32991e+09	f_max - f_min: 6.23367e+09
R: 7.75 G: 3.40	f_min: 2.14508e+09	f_max: 8.19668e+09	f_max - f_min: 6.05160e+09
R: 7.80 G: 3.45	f_min: 1.93388e+09	f_max: 9.28231e+09	f_max - f_min: 7.34843e+09
R: 7.85 G: 3.45	f_min: 1.96531e+09	f_max: 9.19718e+09	f_max - f_min: 7.23187e+09
R: 7.90 G: 3.45	f_min: 1.99725e+09	f_max: 9.11283e+09	f_max - f_min: 7.11557e+09
R: 7.95 G: 3.45	f_min: 2.03440e+09	f_max: 9.00848e+09	f_max - f_min: 6.97408e+09
R: 8.00 G: 3.45	f_min: 2.07223e+09	f_max: 8.88484e+09	f_max - f_min: 6.81260e+09
R: 8.05 G: 3.45	f_min: 2.11564e+09	f_max: 8.76289e+09	f_max - f_min: 6.64725e+09
R: 8.05 G: 3.50	f_min: 1.88984e+09	f_max: 9.94640e+09	f_max - f_min: 8.05656e+09
R: 8.10 G: 3.45	f_min: 2.16993e+09	f_max: 8.60290e+09	f_max - f_min: 6.43297e+09
R: 8.10 G: 3.50	f_min: 1.91614e+09	f_max: 9.87791e+09	f_max - f_min: 7.96176e+09
R: 8.15 G: 3.45	f_min: 2.23074e+09	f_max: 8.42640e+09	f_max - f_min: 6.19565e+09
R: 8.15 G: 3.50	f_min: 1.94281e+09	f_max: 9.80988e+09	f_max - f_min: 7.86708e+09
R: 8.20 G: 3.50	f_min: 1.97438e+09	f_max: 9.71992e+09	f_max - f_min: 7.74553e+09
R: 8.25 G: 3.50	f_min: 2.00648e+09	f_max: 9.60862e+09	f_max - f_min: 7.60214e+09
R: 8.30 G: 3.50	f_min: 2.03909e+09	f_max: 9.49859e+09	f_max - f_min: 7.45950e+09
R: 8.35 G: 3.50	f_min: 2.08180e+09	f_max: 9.38983e+09	f_max - f_min: 7.30802e+09
R: 8.35 G: 3.55	f_min: 1.86820e+09	f_max: 1.05846e+10	f_max - f_min: 8.71641e+09
R: 8.40 G: 3.50	f_min: 2.12541e+09	f_max: 9.23964e+09	f_max - f_min: 7.11423e+09
R: 8.40 G: 3.55	f_min: 1.89420e+09	f_max: 1.05117e+10	f_max - f_min: 8.61752e+09
R: 8.45 G: 3.50	f_min: 2.17493e+09	f_max: 9.07095e+09	f_max - f_min: 6.89601e+09
R: 8.45 G: 3.55	f_min: 1.91614e+09	f_max: 1.04393e+10	f_max - f_min: 8.52320e+09
